"number","ewt.a"
1,74.3444538663861
1,107.331321765682
1,87.9974721892557
1,102.953317681441
1,83.7498713581127
1,74.8601082615072
1,67.8119935480224
1,79.2413119604933
1,96.1195452025374
1,99.8756207124306
2,98.4895014140398
2,71.0212987451556
2,91.3137992966284
2,91.1006418784747
2,90.7679084886941
2,114.571995170073
2,63.9701976774911
2,108.269075382277
2,111.44542322407
2,80.5297449204276
3,54.1584113971667
3,51.931286885783
3,75.1629216559323
3,47.4421461017501
3,66.0958210958559
3,55.5239887551906
3,120.896478004416
3,44.3806249593051
3,70.084329155145
3,38.5859451558821
4,72.5004495393325
4,68.1588864731474
4,61.4868948743572
4,80.7644665332706
4,91.7375105803124
4,78.8842647132702
4,55.366152300336
4,97.1327186482725
4,117.959389257219
4,78.5190492416612
5,88.6194993439174
5,62.1790092828349
5,60.0247786700089
5,65.786535543563
5,51.0693733952525
5,64.5573151499371
5,57.7765677828477
5,61.974629269529
5,44.8561412183821
5,61.0302194168024
6,87.844796295114
6,62.4073096101692
6,78.2322362962694
6,59.7363283147229
6,56.4533355954845
6,125.206377878498
6,68.5343227635877
6,78.2465376319666
6,59.9942151940746
6,67.303207841665
7,117.543794035542
7,67.9647960181944
7,95.6129289780421
7,59.9364218251072
7,115.925126088783
7,155.190599673896
7,60.2233147457359
7,76.7036063965264
7,111.99915443567
7,77.0206943909316
8,96.8788247907679
8,82.2875973138534
8,80.3290321099997
8,66.4826773811509
8,71.2328684245612
8,72.4155736571137
8,74.890341345045
8,66.8209053967194
8,133.256025387364
8,69.4119143788006
9,72.7938814786729
9,85.9032478238106
9,77.5858932748257
9,73.7708789781201
9,80.6253342929892
9,92.1716728295594
9,92.1286253242188
9,66.7325819384398
9,72.2890845313013
9,105.020516209935
10,92.259617391233
10,72.8138853177254
10,50.8536310662667
10,82.2238399721532
10,54.3809359578344
10,91.260589974213
10,101.768816847968
10,64.5532141549186
10,89.1546250153093
10,76.6918660066826
11,99.9864001640139
11,66.2450704552486
11,86.2046553941096
11,86.3629991435132
11,65.4334832612725
11,85.7261314579835
11,70.2218163179263
11,63.8536458189654
11,67.3803385022254
11,76.2796666123197
12,72.33067677181
12,62.0300715619558
12,94.2084112963511
12,75.2682900732051
12,70.9013526137227
12,65.9769930657527
12,84.1470576166795
12,68.8880652052989
12,76.4112908335692
12,96.5712116231648
13,100.10220297318
13,65.77200392185
13,67.6842910228679
13,60.35879020564
13,93.8003060641051
13,59.5398641089957
